,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,AUC-ROC,Threshold
VQC (quantum),0.8125,0.7509,0.7703,0.9974,0.5043,0.8693,0.9742,0.35
MLP (classical),0.8253,0.7679,0.7827,0.9974,0.5385,0.8771,0.9401,0.3
